case_status,location,date,text
Closed,92 Bigelow St Oak Square,2016-03-07 03:55:50,Closed Illegal Parking report at 92 Bigelow St Oak Square https://t.co/1dsggCexGZ. Case closed. case resolved. vehicle tagged.
Closed,"111 W Brookline St, Roxbury",2016-03-07 03:53:37,"Closed Illegal Parking report at 111 W Brookline St, Roxbury https://t.co/ct5ljPUBrR. Case closed. case resolved. area checked all clear."
Opened,"91 E Brookline St, Roxbury",2016-03-07 03:10:36,"Opened Litter report via android at 91 E Brookline St, Roxbury https://t.co/mGzbzWtEWL. Trash out 2 days early."
Opened,"307 Foster St, Brighton",2016-03-07 02:12:40,"Opened report via android at 307 Foster St, Brighton https://t.co/hLnXbpYDrj. Loose trash on property send code enforcement."
Opened,92 Bigelow St Oak Square,2016-03-07 02:07:43,Opened Illegal Parking report via web at 92 Bigelow St Oak Square https://t.co/1dsggCexGZ. Construction truck parked on the street.
Closed,Intersection Of Clinton St &amp; North St,2016-03-07 01:59:03,Closed Illegal Parking report at Intersection Of Clinton St &amp; North St https://t.co/M3XcShHPk5. Case closed. case resolved. cab stand clear.
Closed,1 City Hall Plz https://t.co/JgQcT3BU8b. Case closed. duplicate of existing case.,2016-03-07 01:56:04,Closed report at 1 City Hall Plz https://t.co/JgQcT3BU8b. Case closed. duplicate of existing case. https://t.co/7ZOtR3yWr5
Closed,200 Stuart St,2016-03-07 01:40:28,Closed Illegal Parking report at 200 Stuart St https://t.co/euEYZLI4as. Case closed. case resolved. taxi stand clear.
Opened,"931 Bennington St, East Boston",2016-03-06 23:50:59,"Opened Rodent Sighting report via iphone at 931 Bennington St, East Boston https://t.co/ZEMovDf3Z4. Rats - and baby rats as well ...."
Closed,240 Cambridge St https://t.co/2enPDscuSP. Case closed. case resolved. trash bags picked up.,2016-03-06 23:05:06,Closed Litter report at 240 Cambridge St https://t.co/2enPDscuSP. Case closed. case resolved. trash bags picked up. https://t.co/qh631nYhRf
Opened,17 S Russell St https://t.co/KQtFYFHtjs. Abandoned bike.,2016-03-06 22:48:31,Opened Abandoned Bicycle report via iphone at 17 S Russell St https://t.co/KQtFYFHtjs. Abandoned bike. https://t.co/CcBKIDcOMF
Opened,"9 Waltham St, Roxbury https://t.co/TBs64U3SVg.",2016-03-06 22:43:09,"Opened Illegal Parking report via android at 9 Waltham St, Roxbury https://t.co/TBs64U3SVg. https://t.co/XVpNqVulXn"
Opened,"661 661a Tremont St, Roxbury https://t.co/DX5LWeJahs.",2016-03-06 22:41:06,"Opened Damaged Sign report via iphone at 661 661a Tremont St, Roxbury https://t.co/DX5LWeJahs. https://t.co/cyBMVI2MOe"
Opened,"33 Hillcroft Rd, Jamaica Plain https://t.co/HltAbFhmcr.",2016-03-06 22:29:38,"Opened Illegal Parking report via iphone at 33 Hillcroft Rd, Jamaica Plain https://t.co/HltAbFhmcr. https://t.co/ikD9ow55ko"
Closed,"11 Rosselerin Rd, Dorchester https://t.co/aptKIYvGbc. Case closed. case resolved. pick up cone.",2016-03-06 22:00:19,"Closed report at 11 Rosselerin Rd, Dorchester https://t.co/aptKIYvGbc. Case closed. case resolved. pick up cone. https://t.co/qeof0FNekY"
Opened,"156 Geneva Ave, Dorchester",2016-03-06 21:32:01,"Opened Litter report via iphone at 156 Geneva Ave, Dorchester https://t.co/Jia5thBLxT. Pile of dumping and trash on the lot."
Opened,"36 Lawn St, Mission Hill https://t.co/OnGIf9LHDU. Graffiti on light pole.",2016-03-06 21:27:14,"Opened Damaged Sign report via android at 36 Lawn St, Mission Hill https://t.co/OnGIf9LHDU. Graffiti on light pole. https://t.co/NwXihq6WlA"
Opened,"Intersection Of West Roxbury Pkwy &amp; Sunset Hill Rd, West Roxbury",2016-03-06 20:54:08,"Opened Dead Tree Removal report via iphone at Intersection Of West Roxbury Pkwy &amp; Sunset Hill Rd, West Roxbury https://t.co/mcTWDFahlV."
Opened,Intersection Of Arlington St &amp; Cortes St https://t.co/L4rFEq4uwn.,2016-03-06 20:45:48,Opened Abandoned Bicycle report via iphone at Intersection Of Arlington St &amp; Cortes St https://t.co/L4rFEq4uwn. https://t.co/cbq9TKHJML
Opened,Intersection Of Jerusalem Pl &amp; Salem St https://t.co/GpWlzsvuA2.,2016-03-06 20:25:28,Opened Needle Clean-up report via iphone at Intersection Of Jerusalem Pl &amp; Salem St https://t.co/GpWlzsvuA2. https://t.co/yFfRwbXuKE
Opened,Intersection Of Morton St &amp; Endicott St,2016-03-06 20:17:09,Opened Illegal Parking report via iphone at Intersection Of Morton St &amp; Endicott St https://t.co/r3yXpW7L1R. Parked in fire lane.
Opened,"78 Sawyer Ave, Dorchester https://t.co/W9PlAqEp9Q. Parked in a tow zone.",2016-03-06 19:26:41,"Opened Illegal Parking report via iphone at 78 Sawyer Ave, Dorchester https://t.co/W9PlAqEp9Q. Parked in a tow zone. https://t.co/fjvGacMkin"
Opened,"Intersection Of Bushnell St &amp; Ashmont St, Dorchester https://t.co/B1xuWthHem.",2016-03-06 19:26:13,"Opened Litter report via iphone at Intersection Of Bushnell St &amp; Ashmont St, Dorchester https://t.co/B1xuWthHem. https://t.co/Sh0yHKEO89"
Opened,"Intersection Of Bushnell St &amp; Ashmont St, Dorchester https://t.co/1b3Xdy8hKw.",2016-03-06 19:25:46,"Opened Litter report via iphone at Intersection Of Bushnell St &amp; Ashmont St, Dorchester https://t.co/1b3Xdy8hKw. https://t.co/eoDqypz2iF"
Opened,"971 Dorchester Ave, Dorchester https://t.co/hm6tTbZ6Ct.",2016-03-06 19:16:37,"Opened Illegal Graffiti report via iphone at 971 Dorchester Ave, Dorchester https://t.co/hm6tTbZ6Ct. https://t.co/HNFGYBGQxR"
Opened,"8 Pleasant St, Dorchester https://t.co/AeF0aMWwmq. Graffiti.",2016-03-06 19:05:54,"Opened Illegal Graffiti report via iphone at 8 Pleasant St, Dorchester https://t.co/AeF0aMWwmq. Graffiti. https://t.co/8O7EWtntaa"
Opened,"8 10 Dalkeith St, Dorchester https://t.co/EQb0Dxiwr6. Electric wire hanging low.",2016-03-06 18:47:10,"Opened report via iphone at 8 10 Dalkeith St, Dorchester https://t.co/EQb0Dxiwr6. Electric wire hanging low. https://t.co/BBC8zWvnPb"
Opened,"Intersection Of Redwood St &amp; Centre St, Dorchester https://t.co/1UrPYlMPeY.",2016-03-06 18:32:51,"Opened Litter report via iphone at Intersection Of Redwood St &amp; Centre St, Dorchester https://t.co/1UrPYlMPeY. https://t.co/gAbe4Q9iuO"
Opened,18a 18 Cooper St https://t.co/qSIbn3lwn3.,2016-03-06 18:03:12,Opened Illegal Parking report via iphone at 18a 18 Cooper St https://t.co/qSIbn3lwn3. https://t.co/5eV8zMvNnf
Closed,"11 Islington St, Allston",2016-03-06 18:01:54,"Closed Litter report at 11 Islington St, Allston https://t.co/merpFN8Bop. Case closed. case noted. no violation phone."
Opened,200 Stuart St,2016-03-06 17:58:58,Opened Illegal Parking report via android at 200 Stuart St https://t.co/euEYZLI4as. Non-taxi vehicles parked in active taxi zone.
Opened,240 Cambridge St https://t.co/2enPDscuSP. On corner of garden and cambridge.,2016-03-06 17:50:14,Opened Litter report via iphone at 240 Cambridge St https://t.co/2enPDscuSP. On corner of garden and cambridge. https://t.co/oimqgIDCdP
Closed,"192 Harvard Ave, Allston https://t.co/PPxXl076aF. Case closed. case resolved. cleaned up.",2016-03-06 16:22:46,"Closed Litter report at 192 Harvard Ave, Allston https://t.co/PPxXl076aF. Case closed. case resolved. cleaned up. https://t.co/6eb7cdD63y"
Opened,"31 Richmere Rd, Mattapan https://t.co/ymYshC6Ujb.",2016-03-06 15:35:33,"Opened Abandoned Vehicle report via iphone at 31 Richmere Rd, Mattapan https://t.co/ymYshC6Ujb. https://t.co/O043PMHAPO"
Opened,"69 Park Dr, 8 https://t.co/D1JyTT8q8x. On green relay box.",2016-03-06 15:23:09,"Opened Illegal Graffiti report via android at 69 Park Dr, 8 https://t.co/D1JyTT8q8x. On green relay box. https://t.co/W2LIfJgV8M"
Opened,51 Park Dr https://t.co/hueUUUAQnz. Bent tow zone sign.,2016-03-06 15:22:18,Opened Damaged Sign report via android at 51 Park Dr https://t.co/hueUUUAQnz. Bent tow zone sign. https://t.co/kY3JrxjmPb
Opened,20 Peterborough St https://t.co/e449DqlTVj. On electrical box.,2016-03-06 15:21:15,Opened Illegal Graffiti report via android at 20 Peterborough St https://t.co/e449DqlTVj. On electrical box. https://t.co/yNv97C1ZGd
Opened,20 Peterborough St https://t.co/AjkNtaYvpi. On blue mailbox.,2016-03-06 15:18:59,Opened Illegal Graffiti report via android at 20 Peterborough St https://t.co/AjkNtaYvpi. On blue mailbox. https://t.co/xJGOSgf6db
Opened,"59 Brighton Ave, 7, Allston https://t.co/9jme21g9vS.",2016-03-06 14:58:55,"Opened Illegal Graffiti report via iphone at 59 Brighton Ave, 7, Allston https://t.co/9jme21g9vS. https://t.co/oDjhLeUNz7"
Opened,"1180 1200 Washington St, Roxbury https://t.co/gwIafT1CSt.",2016-03-06 14:56:51,"Opened Illegal Graffiti report via iphone at 1180 1200 Washington St, Roxbury https://t.co/gwIafT1CSt. https://t.co/KfosMn3D9z"
Opened,"11 Islington St, Allston",2016-03-06 14:56:26,"Opened Litter report via iphone at 11 Islington St, Allston https://t.co/merpFN8Bop. Loose, blowing trash in yard."
